Project #,Opportunity Title,Pier Load Calcs,Total MW,Module/Row ,DWS (),Snow Load ,Mod Len,Hole c/c,Mod Wid,Mod Thickness,Mod  Weight,Pier Height,GCR,EXT - Total Piers,EXT - Drive Piers,EDG - Total Piers,EDG - Drive Piers,INT - Total Piers,INT - Drive Piers,Tracker Version,"Panel Rail Length Group, A","Panel Hole Spacing Group, B"
1000748,"Nextera, Charlotte, VT - 3.2MW",https://nextracker.box.com/s/e2jp2mivgwqiellfwv2lvluyrnrhdgom,3.2,120,99.00,40,2067,974,998,35,51,6.5,0.35,8,8,8,4,,,NXG - 1.3.3.4,3,4
1189756,Belectric - Shoval - Israel - 11MW,https://nextracker.app.box.com/file/718001977000?s=hjp8qll40thgnsp3wwcyf88jq3c4dwf8,11,56,54.00,0,2111,1004,1046,30,63.1,6.5,0.49,4,4,4,3,,,NXG - 1.3.4.7,4,7
998547,"Nextera, Ethan Allen Solar, VT - 3.2MW",https://nextracker.app.box.com/file/718896258696,3.2,120,98.00,40,2024,960,1002,35,57.3,6.5,37%%,8,8,8,4,,,NXG - 1.3.2.3,2,3
1194472,Enel - Finis Terrae 3 Extension GEMINI - Chile - 20MW (POSMAC),https://nextracker.box.com/s/9b95m7nwvy88ij0clczymlzx3bigyzo1,20,112,67.10,0,2205,984,1032,35,55.11,6.5,0.35,7,7,6,4,,,NXG - 1.3.6.5,6,5
1209206,Blue Oak Energy - Northern California - 350MW - Gemini,https://nextracker.box.com/s/og24kp0vyokiplxus4di8ginn7uh9nwl,350,112,100.00,0,2108,1010,1042,36,63.93,6.5,0.35,8,8,7,4,,,NXG - 1.3.4.8,4,8
1096537,"Strata Solar - Bookers Mill, VA - 152.56MW",https://nextracker.box.com/s/5b4hqsq5rmgt5ofnoz74navfl80mwwr3,152.56,104,105.00,20,2182,979,1029,40,55.12,7.61,0.49,8,8,7,4,,,NXG - 1.3.5.5,5,5
1216427,Aldesa - Durango - Mexico - 374MW - Gemini,https://nextracker.box.com/s/j6q88ffsgt2owkwmvxxttbpw8z8u8uva,374,104,105.00,0,2205,982,1032,40,58.42,6.5,0.35,8,8,7,4,,,NXG - 1.3.6.5,6,5
1235902,Sacyr - Durango - Mexico - 374MW - Gemini,https://nextracker.box.com/s/r3c9qm0w1oz732g19ab0lkgb7ry0rf1r,374,112,110.00,0,2205,982,1032,40,1032,6.5,0.35,9,9,7,5,,,NXG - 1.3.6.5,6,5
1068682,CAF TE - Badajoz (Sonnedix)- Spain - 50MW,https://nextracker.box.com/s/jfhjxdmfhsc852p564ylgj0suuds3am7,50,112,83.35,4.44,2102,995,1040,35,52.9,6.5,0.35,9,9,7,5,,,NXG - 1.3.4.6,4,6
1240515,"M-Y-R Transmission Service - Fish Springs, NV - 130MW - Gemini",https://nextracker.app.box.com/file/728231184266,130,104,105.00,15,2008,952,1002,40,49.6,6.5,0.3,6,6,6,4,,,NXG - 1.3.2.2,2,2
1240515,"M-Y-R Transmission Service - Fish Springs, NV - 130MW - Gemini",https://nextracker.app.box.com/file/728233043042,130,52,105.00,15,2008,952,1002,40,49.6,6.5,0.3,3,3,3,2,,,NXG - 1.3.2.2,2,2
1162988,"Moss - Hale Kuawehi, HI - 48MW",https://nextracker.app.box.com/file/730104190302?s=b8eta7r4c275wommq95ulq0h0qk009v3,48,54,120.00,0,2260,1019,1048,32,65.9,6.5,0.4,6,6,4,3,,,NXG - 1.3.7.9,7,9
1162988,"Moss - Hale Kuawehi, HI - 48MW",https://nextracker.app.box.com/file/729755281735?s=zj5konjg5gj86y2y6tunn4iy8shdwnyf,48,108,120.00,0,2260,1019,1048,32,65.9,6.5,0.4,11,11,8,6,,,NXG - 1.3.7.9,7,9
1192062,"Signal - Big Star, TX - 231MW - Gemini",https://nextracker.app.box.com/file/716784152109?s=vuefrl4qi7lsik1k2ka63pl1erhe340b,231,112,104.00,5,2094,997,1038,35,60.62,6.5,0.35,8,8,7,4,,,NXG - 1.3.3.7,3,7
1192062,"Signal - Big Star, TX - 231MW - Gemini",https://nextracker.app.box.com/file/718936464535?s=blni2kypt79r5zdm3yvhaccb2grz5yr4,231,56,105.00,5,2094,997,1038,35,60.02,6.5,0.35,4,4,4,3,,,NXG - 1.3.3.7,3,7
1192264,"AUI - Fleet WCCS, OR - 0.5MW - GEMINI",https://nextracker.box.com/s/afaxbsr9ffcufpu8btk9nau7q0cuzrm3,0.5,112,95.00,17,2022,963,992,30,56.7,6.5,0.49,7,7,7,4,,,NXG - 1.3.2.3,2,3
1195474,"AUI - Greenhill Solar, OR - 1MW",https://nextracker.box.com/s/2b99uh3ychl6pj712vfmbcjnjiu63yp9,1,112,95.00,24,2022,963,992,30,56.7,6.7,0.49,7,7,7,4,,,NXG - 1.3.2.3,2,3
1250033,"SunConnect - High Street, MA - 8MW - GEMINI",https://nextracker.box.com/s/vhzrc8s5anmhxm04xit9v4xm6w6uxuj9,8,112,117.00,30,2131,1011,1052,35,65.03,6.5,0.3,10,10,8,6,,,NXG - 1.3.4.8,4,8
1249833,"SunConnect - Simmons Street, MA - 2MW - GEMINI",https://nextracker.box.com/s/o88hmbnfbuip63s8y3ee6lc7sf4pe5a6,2,112,117.00,30,2131,1011,1052,35,65.03,6.5,0.3,10,10,8,6,,,NXG - 1.3.4.8,4,8
1217129,"SunConnect - Gurney Rd, MA - 2.5MW - GEMINI",https://nextracker.app.box.com/file/719394722288,2.5,112,118.00,30,2131,1011,1052,35,65.03,6.5,0.3,11,11,8,7,,,NXG - 1.3.4.8,4,8
1211206,"SunConnect - Quarry Drive, MA - 8MW - GEMINI",https://nextracker.app.box.com/file/719377022846,8,112,117.00,30,2131,1011,1052,35,65.03,6.5,0.3,11,11,9,6,,,NXG - 1.3.4.8,4,8
1203992,Power China- Ar Rass - Saudi Arabia - 844MW_NXG,https://nextracker.app.box.com/file/733217737257,844,120,110.00,0,2206,1074,1122,35,62.17,6.5,0.35,12,12,8,6,,,NXG - 1.3.6.14,6,14
1239905,System off Grid - Le Bouillon - France - 35MW,https://nextracker.app.box.com/file/732244209021,35,108,80.00,9,2094,997,1038,35,60.62,6.5,0.35,8,8,7,4,,,NXG - 1.3.3.7,3,7
1239905,System off Grid - Le Bouillon - France - 35MW,https://nextracker.app.box.com/file/732248262326,35,54,80.00,9,2094,997,1038,35,60.62,6.5,0.35,4,4,4,3,,,NXG - 1.3.3.7,3,7
1256451,"Narenco - Stanly Solar, NC - 43MW Gemini",https://nextracker.app.box.com/file/731862526612?s=jf8l34xzu9kz0oevm8mbtnrv2xmzn4uj,43,108,105.00,10,2094,997,1038,35,60.62,6.5,0.42,7,7,6,4,,,NXG - 1.3.3.7,3,7
1256451,"Narenco - Stanly Solar, NC - 43MW Gemini",https://nextracker.app.box.com/file/732247802713?s=o78l8tqwbqylyrwwjh560rm2tmrw1m90,43,54,105.00,10,2094,997,1038,35,60.62,6.5,0.42,4,4,4,3,,,NXG - 1.3.3.7,3,7
1198483,"SunPower, Ferrini Flats, CA - 10MW - Gemini",https://nextracker.app.box.com/file/711865618727,10,104,86.00,0,1999,973,1016,40,40.5,6.5,0.49,6,6,6,4,,,NXG - 1.3.1.4,1,4
1096538,"McCarthy - Maple Flats, IL - 334MW",https://nextracker.app.box.com/file/720463497060?s=jf884a34jwpnotqi5aen0xgqh2s5uud5,334,108,100.00,20,2131,1011,1052,35,65.04,6.5,0.35,7,7,7,4,,,NXG - 1.3.4.8,4,8
1096538,"McCarthy - Maple Flats, IL - 334MW",https://nextracker.app.box.com/file/720467210906,334,54,100.00,20,2131,1011,1052,35,65.04,6.5,0.35,4,4,4,3,,,NXG - 1.3.4.8,4,8
1264461,"Konisto - DIA 7, CO - 12.41 MW- Gemini",https://nextracker.app.box.com/file/733440474064?s=x2fva3dnyxnmgxvmwappzkyjnclm3iwp,12.41,108,105.00,30,2031,958,1008,40,51.3,6.5,0.35,7,7,7,4,,,NXG - 1.3.2.3,2,3
1188156,"Alternative Power - Kupono Solar , HI - Gemini 46 MW",https://nextracker.app.box.com/file/705935654700,46,116,130.00,0,2031,966,1011,35,57.98,7,0.35,12,12,11,5,,,NXG - 1.3.2.4,2,4
1188156,"Alternative Power - Kupono Solar , HI - Gemini 46 MW",https://nextracker.app.box.com/file/705936237780,46,112,130.00,0,2067,,,35,56,7,0.35,13,13,11,7,,,NXG - 1.3.FSLR S6,3,-94
1253138,Metka - Meseta - Chile - 160MW - Gemini,https://nextracker.app.box.com/file/737098690052,160,112,79.00,20.89,2111,1004,1046,30,63.1,6.5,0.35,8,8,7,4,,,NXG - 1.3.4.7,4,7
1180745,"SunPower - Kupono, HI - 46MW",https://nextracker.app.box.com/file/741278739748?s=fvnmh2x600omynly8rdd4hzpta7fjuai,46,128,107.00,0,2067,1006,1046,46,56,7,0.49,10,10,7,4,,,NXG - 1.3.3.8,3,8
1252738,"Rosendin - Richfield Solar, MD - 68.5MW",https://nextracker.box.com/s/rr6ho6k0n60idx0a3b5kc3m1bbo4leyp,68.5,108,107.00,20,2094,997,1038,35,60.62,6.5,0.35,8,8,7,4,,,NXG - 1.3.3.7,3,7
1273285,"Kiewit - Strathmore Solar, Canada - 48.5MW NX Gemini",https://nextracker.box.com/s/xadas11265s1omqpf35e554is02f97bq,48.5,108,97.60,25,2128,1012,1048,30,63.93,6.5,0.35,8,8,7,5,,,NXG - 1.3.4.8,4,8
1273785,"Cupertino Electric - Badger Hollow 2, WI - 188MW - Gemini",https://nextracker.box.com/s/vrughfvfqallen6yypmnyyjvaqui96nd,188,104,105.00,30,2094,997,1038,35,60.627,6.5,0.33,8,8,7,4,,,NXG - 1.3.3.7,3,7
1275688,"CS Energy - Arney, NY - 6.5MW - Gemini",https://nextracker.box.com/s/3cajuoda013j4rrxhvgkmrbk750ifnyc,6.5,104,101.00,40,2031,969,1011,30,59.1,6.5,0.35,7,7,7,4,,,NXG - 1.3.2.4,2,4
1207003,"Gemma Power - CPV Maple Hill, PA - 127MW - Gemini",https://nextracker.box.com/s/348cj71jnq1n4o6qhnowasggred33wne,127,108,101.00,50,2132,1040,1048,30,63.93,7,0.46,9,9,8,5,,,NXG - 1.3.4.11,4,11
1269873,"ESA Renewables, C W Bill Young Reservoir, FL, 1MW - Gemini",https://nextracker.box.com/s/4kybipmgahw508p9xg1qpfzy4ye05wal,1,112,139.00,0,2108,1007,1048,40,54.9,6.5,0.35,15,15,11,8,,,NXG - 1.3.4.8,4,8
1269373,"Moss - Pecan Prairie Solar, TX - 559MW - Gemini",https://nextracker.app.box.com/file/740039814207,559,116,101.00,5,2230,1086,1134,40,64.26,6.5,0.49,10,10,7,4,,,NXG - 1.3.6.16,6,16
1269373,"Moss - Pecan Prairie Solar, TX - 559MW - Gemini",https://nextracker.app.box.com/file/740039805807,559,58,101.00,5,2230,1086,1134,40,64.26,6.5,0.49,6,6,4,3,,,NXG - 1.3.6.16,6,16
1180747,"Invenergy - Yum Yum, TN - 190 MW - Gemini",https://nextracker.app.box.com/file/697342769846?s=y55kg94levkrkywl63n09igb3uz72aw7,190,108,100.00,10,2131,1011,1052,35,65.04,6.5,0.49,8,8,7,4,,,NXG - 1.3.4.8,4,8
1180747,"Invenergy - Yum Yum, TN - 190 MW - Gemini",https://nextracker.app.box.com/file/723358111997?s=20qh0gn2adph3vcm7m94o7b4sn5wmb7s,190,54,100.00,10,2131,1011,1052,35,65.03,6.5,0.32,4,4,4,3,,,NXG - 1.3.4.8,4,8
1219530,Enel - Finis Terrae 3 Extension - Chile - 3MW NXG (POSMAC),https://nextracker.box.com/s/y4z2464u0zi3kebib3bct7driqehde4z,3,112,67.10,0,2205,984,1032,35,55.11,6.5,0.35,7,7,6,4,,,NXG - 1.3.6.5,6,5
841121,"Moss - Mililani I, HI - 50.1MW",https://nextracker.app.box.com/file/710608632144?s=er6f07qcob6g03m1p5y9t0x0luetdqrt,50.1,116,130.00,0,2037,969,1005,35,58.4,7,0.49,12,12,8,6,,,NXG - 1.3.2.4,2,4
841121,"Moss - Mililani I, HI - 50.1MW",https://nextracker.app.box.com/file/717999706816?s=jrncfqe08snq0s1u6ri5iuy0n6r4tbq6,50.1,58,130.00,0,2037,969,1005,30,58.42,7,0.49,6,6,5,3,,,NXG - 1.3.2.4,2,4
841021,"Moss - Waiawa Solar, HI - 45.42MW",https://nextracker.box.com/s/4n022iif7kvskj2rhg2ay0tjex4mfvpj,45.42,116,130.00,0,2037,969,1005,35,58.4,7,0.49,12,12,8,6,,,NXG - 1.3.2.4,2,4
1144544,"Moss Solar - Crystal River, FL - 91.56MW - Gemini",https://nextracker.app.box.com/file/718002359712?s=rsqfa4u1vr5ewg9zvh44go8s57vpe917,45.42,58,130.00,0,2037,969,1005,30,58.42,7,0.49,6,6,5,3,,,NXG - 1.3.2.4,2,4
966498,Belectric - GEVIM - Israel - 12.6MW - NXG (Half Site),https://nextracker.app.box.com/file/727056605436,12.6,112,105.00,0,2037,969,1005,30,67.02,6.5,0.45,7,7,6,4,,,NXG - 1.3.2.4,2,4
966498,Belectric - GEVIM - Israel - 12.6MW - NXG (Half Site),https://nextracker.app.box.com/file/728541114136,12.6,56,54.00,0,2117,1016,1056,35,60.627,6.5,0.45,5,5,4,3,,,NXG - 1.3.4.9,4,9
1235803,MEINS - NX ACCELERATOR Tracker - Spain - 1 MW,https://nextracker.box.com/s/nnfv1lkevtr9qc15mwaww1a21cmau5k0,1,120,81.00,11.4,2132,1019,1048,30,62.6,6.5,0.41,10,10,8,5,,,NXG - 1.3.4.9,4,9
1170410,"Open Road Renewables - Walnut Solar, VA - 187MW",https://nextracker.box.com/s/wmowpzb9cdw56359es1ttd6ps7fopqx5,187,112,90.00,20,2094,997,1038,35,60.627,6.5,0.35,7,7,7,4,,,NXG - 1.3.3.7,3,7
1266262,Enerside - Centauro - Chile - 10MW,https://nextracker.app.box.com/file/743222611753?s=zlb4qflmuk9roid1okz3walikh9tb9mb,10,108,89.00,5.12,2163,980,1030,30,55.12,6.5,0.35,8,8,6,4,,,NXG - 1.3.5.5,5,5
1130223,"Black & Veatch - Oystercatcher Solar, TX - 260MW",https://nextracker.app.box.com/file/743169149043,260,112,133.00,0,2008,952,1002,40,49.6,6.5,0.35,12,12,9,6,,,NXG - 1.3.2.2,2,2
1253038,RES -  Enterprise - Canada - 115MW,https://nextracker.app.box.com/file/742281402067?s=r5etdnod6nglmvke2vlq4c3wxr86y0el,115,104,88.50,30,2256,1092,1133,35,71.21,6.5,0.39,9,9,7,5,,,NXG - 1.3.7.16,7,16
1258251,Invenergy - Tepuy - Colombia - 100MW - Gemini,https://nextracker.app.box.com/file/529809100291?s=mq7msagxc5av2tt8yo417vebda81k72r,100,116,49.50,0,2256,1092,1133,35,71.209,6.5,0.35,8,8,7,4,,,NXG - 1.3.7.16,7,16
